"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Gary Burton";"Next generation";"A dance for most of you";2005;"CONCORDJAZZ";1706349086;1706349432;"https://music.apple.com/fr/album/a-dance-for-most-of-you/1443091132?i=1443091329&uo=4";"https://open.spotify.com/track/03xJYqL0kpnK8BQbLRRRkn";
"Dorothy Reid";"Jazzin' the classics vol. 1";"I'm always chasing rainbows (Fantaisie-Impromptu) (1946)";2003;"SAGA";1706349429;1706349632;;;
"Remi Panossian Trio (rp3)";"In odd we trust";"Vengeance tardive";2020;"ADD FICTION / L'AUTRE DISTRIBUTION";1706349633;1706349849;;;
"Gerry Mulligan & Paul Desmond 4tet";"Blues in time";"Lover";1957;"Fresh Sound Records";1706349847;1706350251;;;
"Laika Fatien";"Look at me now";"Shallows (A Shade Of Jade)";2004;"BODY&SOUL";1706350249;1706350484;;;
"Keith Jarrett (piano)";"El Juicio";"Gypsy moth";1998;"Atlantic";1706350482;1706350977;;;
"Jukka Eskola";"Jukka eskola";"Duudamdej";2006;"FREE AGENT";1706350975;1706351338;;;"https://www.deezer.com/track/953789672"
"King Pleasure";"King Pleasure Sings, Annie Ross Sings";"Red Top";1952;"Prestige";1706351335;1706351528;;;
"Jonathan Orland";"Small talk";"Falling grace";2015;"PARIS JAZZ UNDERGROUND";1706351528;1706351820;;"https://open.spotify.com/track/7MvkmWe4rjBaoC4Sv6vRwj";
"Ernest Ranglin";"Below the bassline";"King Tubby meets the rockers";1996;"ISLAND";1706351818;1706352121;"https://music.apple.com/fr/album/king-tubby-meets-the-rockers/1444023621?i=1444023737&uo=4";"https://open.spotify.com/track/1bJd0EmFdbz5wC6Td5VlgT";
"Natalia M King";"Bluezzin t'il dawn";"Baby Brand New";2016;"CHALLENGE RECORDS";1706352119;1706352511;;;
"Lee Konitz";"The best of West coast jazz";"Too marvelous for words";1953;"DREYFUS";1706352508;1706352726;;;
